Time (UTC),Latitude,Longitude,Hm0 (m),Hmax_up (m),Tm01 (s),Pdirnaut (waves coming from deg),Meandir (waves coming from deg),Bat_voltageAvg
2022-07-20 02:59:20,-58.5705223,-0.4526708,0.305,0.404,9.800,340,323,3.55
2022-07-20 03:21:11,-58.5654716,-0.4472513,0.297,0.424,9.400,331,332,3.55
2022-07-20 03:43:02,-58.5613632,-0.4429930,0.304,0.412,9.600,316,321,3.55
2022-07-20 04:04:53,-58.5573006,-0.4386540,0.253,0.326,10.100,317,312,3.55
2022-07-20 04:26:43,-58.5525742,-0.4334780,0.261,0.386,9.800,324,328,3.54
2022-07-20 04:48:34,-58.5488815,-0.4294928,0.242,0.413,9.900,327,322,3.55
2022-07-20 05:10:25,-58.5452461,-0.4258925,0.302,0.461,9.900,338,339,3.55
2022-07-20 05:32:15,-58.5405121,-0.4215828,0.317,0.466,9.600,314,317,3.55
2022-07-20 05:54:06,-58.5366859,-0.4189087,0.290,0.405,9.600,310,306,3.54
2022-07-20 06:15:57,-58.5323830,-0.4159553,0.303,0.481,9.900,344,337,3.55
2022-07-20 06:37:48,-58.5288696,-0.4138094,0.313,0.503,9.900,339,345,3.55
2022-07-20 06:59:38,-58.5250244,-0.4116055,0.286,0.487,9.900,312,313,3.55
2022-07-20 07:21:29,-58.5204239,-0.4083329,0.269,0.360,10.400,343,340,3.55
2022-07-20 07:43:20,-58.5166321,-0.4061300,0.309,0.476,9.800,337,339,3.55
2022-07-20 08:05:11,-58.5127296,-0.4036251,0.314,0.432,9.600,311,306,3.55
2022-07-20 08:27:01,-58.5080185,-0.3999979,0.308,0.473,9.900,304,304,3.55
2022-07-20 08:48:52,-58.5042191,-0.3972613,0.289,0.474,10.000,305,308,3.55
2022-07-20 09:10:43,-58.5004425,-0.3944499,0.316,0.465,9.400,305,307,3.55
2022-07-20 09:32:33,-58.4956932,-0.3917806,0.355,0.456,9.800,308,303,3.55
2022-07-20 09:54:24,-58.4919472,-0.3895648,0.306,0.583,9.800,303,305,3.55
2022-07-20 10:16:15,-58.4867516,-0.3874015,0.308,0.530,10.000,315,304,3.55
2022-07-20 10:38:06,-58.4826889,-0.3860243,0.401,0.599,10.200,311,304,3.54
2022-07-20 10:59:56,-58.4789200,-0.3844636,0.357,0.488,11.400,274,298,3.55
2022-07-20 11:21:47,-58.4741364,-0.3819553,0.353,0.521,10.400,326,320,3.55
2022-07-20 11:43:38,-58.4700165,-0.3804849,0.389,0.560,10.100,320,312,3.55
2022-07-20 12:05:28,-58.4659729,-0.3790987,0.365,0.530,10.300,326,314,3.55
2022-07-20 12:27:19,-58.4607430,-0.3779198,0.393,0.554,10.900,266,298,3.55
2022-07-20 12:49:10,-58.4564857,-0.3779979,0.398,0.552,10.600,268,294,3.55
2022-07-20 13:11:01,-58.4514160,-0.3775802,0.405,0.707,10.500,273,294,3.55
2022-07-20 13:32:51,-58.4470406,-0.3776249,0.495,0.677,11.400,273,292,3.55
2022-07-20 13:54:42,-58.4427986,-0.3783482,0.466,0.759,11.000,309,290,3.55
2022-07-20 14:16:33,-58.4370956,-0.3794311,0.429,0.666,11.100,271,291,3.55
2022-07-20 14:38:23,-58.4327431,-0.3799448,0.540,0.741,10.800,313,329,3.55
2022-07-20 15:00:14,-58.4282494,-0.3810935,0.451,0.749,11.500,309,321,3.55
2022-07-20 15:22:05,-58.4225159,-0.3834618,0.549,0.720,12.900,300,316,3.55
2022-07-20 15:43:56,-58.4185219,-0.3853770,0.592,0.735,13.200,310,315,3.55
2022-07-20 16:05:46,-58.4135475,-0.3884641,0.435,0.673,11.600,305,326,3.54
2022-07-20 16:27:37,-58.4097023,-0.3909658,0.593,0.745,13.300,302,314,3.54
2022-07-20 16:49:28,-58.4062843,-0.3932750,0.560,0.976,12.800,316,325,3.55
2022-07-20 17:11:19,-58.4023552,-0.3969913,0.528,0.990,13.000,310,320,3.55
2022-07-20 17:33:09,-58.3994827,-0.4002146,0.693,1.117,14.200,300,310,3.55
2022-07-20 17:55:00,-58.3973427,-0.4030940,0.595,0.729,13.900,306,313,3.55
2022-07-20 18:16:51,-58.3949318,-0.4053843,0.710,0.988,14.300,300,308,3.55
2022-07-20 18:38:41,-58.3928261,-0.4078015,0.674,0.841,13.300,301,312,3.55
2022-07-20 19:00:32,-58.3909187,-0.4100346,0.851,1.030,15.100,286,289,3.55
2022-07-20 19:22:23,-58.3887825,-0.4128839,0.898,1.246,15.300,268,272,3.55
2022-07-20 19:44:14,-58.3869171,-0.4140945,0.751,1.041,14.400,279,288,3.55
2022-07-20 20:06:04,-58.3847504,-0.4152973,0.888,1.192,14.300,294,299,3.54
2022-07-20 20:27:55,-58.3832970,-0.4163381,1.030,1.267,14.700,269,272,3.55
2022-07-20 20:49:46,-58.3816261,-0.4171515,1.014,1.375,14.800,267,271,3.55
