Time (UTC),Latitude,Longitude,Hm0 (m),Hmax_up (m),Tm01 (s),Pdirnaut (waves coming from deg),Meandir (waves coming from deg),Bat_voltageAvg
2022-07-19 17:02:44,-58.6667252,-1.1075140,0.119,0.175,11.500,341,338,3.54
2022-07-19 17:24:34,-58.6650047,-1.0953408,0.120,0.209,12.500,332,358,3.55
2022-07-19 17:46:25,-58.6627579,-1.0819516,0.150,0.242,10.800,333,342,3.55
2022-07-19 18:08:16,-58.6601486,-1.0685772,0.154,0.272,7.200,330,337,3.54
2022-07-19 18:30:06,-58.6571312,-1.0563617,0.158,0.239,10.900,324,325,3.53
2022-07-19 18:51:57,-58.6538048,-1.0450402,0.159,0.263,12.000,292,313,3.54
2022-07-19 19:13:48,-58.6505928,-1.0344326,0.249,0.552,14.400,350,347,3.54
2022-07-19 19:35:39,-58.6469879,-1.0239819,0.130,0.473,11.900,354,353,3.54
2022-07-19 19:57:29,-58.6434097,-1.0150152,0.116,0.189,11.700,305,309,3.54
2022-07-19 20:19:20,-58.6399307,-1.0074583,0.140,0.231,11.600,321,319,3.54
2022-07-19 20:41:11,-58.6350403,-0.9989602,0.148,0.215,11.000,311,320,3.54
2022-07-19 21:03:02,-58.6304054,-0.9933877,0.146,0.225,12.600,336,336,3.54
2022-07-19 21:24:52,-58.6259460,-0.9888604,0.181,0.292,13.500,110,338,3.54
2022-07-19 21:46:43,-58.6216431,-0.9847538,0.170,0.264,10.600,311,317,3.54
2022-07-19 22:08:34,-58.6177292,-0.9813101,0.122,0.177,11.100,327,334,3.54
2022-07-19 22:30:24,-58.6145782,-0.9779664,0.167,0.274,11.400,322,320,3.54
2022-07-19 22:52:15,-58.6119118,-0.9742649,0.211,0.317,13.200,340,329,3.54
2022-07-19 23:14:06,-58.6093178,-0.9708410,0.180,0.272,10.800,328,325,3.54
2022-07-19 23:35:57,-58.6065331,-0.9673758,0.173,0.335,12.000,312,318,3.54
2022-07-19 23:57:47,-58.6040459,-0.9643099,0.183,0.505,15.000,106,334,3.54
2022-07-20 00:19:38,-58.6017532,-0.9614220,0.175,0.237,11.300,329,324,3.54
2022-07-20 00:41:29,-58.5998650,-0.9586853,0.145,0.259,10.400,317,319,3.54
2022-07-20 01:03:19,-58.5983925,-0.9564362,0.183,0.278,11.200,314,329,3.54
2022-07-20 01:25:10,-58.5970573,-0.9535733,0.165,0.290,11.100,316,323,3.54
2022-07-20 01:47:01,-58.5959816,-0.9502048,0.164,0.305,11.300,316,313,3.53
2022-07-20 02:08:52,-58.5948143,-0.9463091,0.195,0.308,10.900,326,322,3.54
2022-07-20 02:30:42,-58.5935059,-0.9414944,0.153,0.209,11.300,315,322,3.54
2022-07-20 02:52:33,-58.5923958,-0.9372794,0.179,0.280,11.300,327,332,3.53
2022-07-20 03:14:24,-58.5916939,-0.9334012,0.200,0.268,10.800,314,318,3.54
2022-07-20 03:36:14,-58.5909386,-0.9290809,0.160,0.300,11.300,333,337,3.53
2022-07-20 03:58:05,-58.5902214,-0.9249762,0.154,0.211,11.100,340,336,3.54
2022-07-20 04:19:56,-58.5896835,-0.9199715,0.160,0.249,11.700,315,325,3.54
2022-07-20 04:41:47,-58.5887299,-0.9145401,0.169,0.219,11.600,313,308,3.54
2022-07-20 05:03:37,-58.5879440,-0.9095057,0.171,0.214,11.500,345,340,3.54
2022-07-20 05:25:28,-58.5872879,-0.9044316,0.159,0.261,12.100,313,319,3.54
2022-07-20 05:47:19,-58.5869064,-0.8989336,0.171,0.273,11.200,342,327,3.54
2022-07-20 06:09:10,-58.5863953,-0.8919887,0.170,0.269,11.400,335,330,3.54
2022-07-20 06:31:00,-58.5858688,-0.8845651,0.176,0.240,11.800,332,325,3.54
2022-07-20 06:52:51,-58.5849648,-0.8766879,0.178,0.245,11.600,305,312,3.53
2022-07-20 07:14:42,-58.5839729,-0.8704129,0.197,0.280,11.100,317,312,3.55
2022-07-20 07:36:32,-58.5816383,-0.8622624,0.171,0.235,11.400,322,306,3.55
2022-07-20 07:58:23,-58.5793343,-0.8562066,0.200,0.365,11.800,306,310,3.55
2022-07-20 08:20:14,-58.5768623,-0.8505701,0.152,0.231,12.400,288,303,3.55
2022-07-20 08:42:05,-58.5744820,-0.8457871,0.156,0.244,13.500,291,313,3.54
2022-07-20 09:03:55,-58.5719795,-0.8410064,0.151,0.249,12.800,310,315,3.54
2022-07-20 09:25:46,-58.5694008,-0.8366706,0.160,0.286,13.100,332,328,3.54
2022-07-20 09:47:37,-58.5666542,-0.8330075,0.204,0.246,13.200,303,315,3.54
2022-07-20 10:09:27,-58.5640717,-0.8298341,0.190,0.297,12.400,334,320,3.53
2022-07-20 10:31:18,-58.5616493,-0.8270154,0.231,0.317,12.700,298,318,3.53
2022-07-20 10:53:09,-58.5591888,-0.8241795,0.173,0.263,12.300,332,321,3.54
2022-07-20 11:15:00,-58.5568848,-0.8208562,0.260,0.373,13.400,286,307,3.54
2022-07-20 11:36:50,-58.5548096,-0.8173087,0.255,0.369,12.600,291,314,3.54
2022-07-20 11:58:41,-58.5525360,-0.8135741,0.264,0.430,12.000,288,309,3.54
2022-07-20 12:20:32,-58.5500984,-0.8105523,0.279,0.403,11.900,297,314,3.54
2022-07-20 12:42:22,-58.5478134,-0.8084297,0.337,0.474,13.800,283,299,3.53
2022-07-20 13:04:13,-58.5455742,-0.8065260,0.303,0.544,13.000,284,307,3.54
2022-07-20 13:26:04,-58.5434799,-0.8045224,0.392,0.550,13.500,279,297,3.54
2022-07-20 13:47:55,-58.5410042,-0.8022639,0.377,0.505,13.500,287,300,3.54
2022-07-20 14:09:45,-58.5385361,-0.8004542,0.356,0.528,13.600,291,305,3.54
2022-07-20 14:31:36,-58.5358772,-0.7991503,0.363,0.506,13.700,295,301,3.54
2022-07-20 14:53:27,-58.5332222,-0.7988604,0.422,0.537,15.300,278,288,3.54
2022-07-20 15:15:18,-58.5307274,-0.7988781,0.389,0.773,14.100,293,299,3.54
2022-07-20 15:37:08,-58.5288239,-0.7989249,0.496,0.657,16.000,286,290,3.54
2022-07-20 15:58:59,-58.5274506,-0.7988729,0.472,0.723,15.000,289,294,3.54
2022-07-20 16:20:50,-58.5262527,-0.7985805,0.575,0.826,16.100,286,290,3.54
2022-07-20 16:42:40,-58.5254326,-0.7987243,0.525,0.677,14.900,283,296,3.53
2022-07-20 17:04:31,-58.5248756,-0.7987535,0.513,0.845,15.800,292,295,3.54
2022-07-20 17:26:22,-58.5247421,-0.7984830,0.687,0.865,16.300,294,295,3.54
2022-07-20 17:48:13,-58.5250931,-0.7979792,0.826,0.923,16.600,289,291,3.54
2022-07-20 18:10:03,-58.5255051,-0.7972539,0.622,0.783,15.800,278,285,3.54
2022-07-20 18:31:54,-58.5259399,-0.7967501,0.593,1.025,15.300,283,290,3.54
2022-07-20 18:53:45,-58.5264816,-0.7961426,0.802,1.011,15.200,277,284,3.53
2022-07-20 19:15:35,-58.5272179,-0.7952983,0.825,1.068,15.500,285,291,3.54
2022-07-20 19:37:26,-58.5278664,-0.7941308,0.767,1.152,16.100,289,290,3.53
2022-07-20 19:59:17,-58.5284462,-0.7925731,1.029,1.365,15.800,283,285,3.53
2022-07-20 20:21:08,-58.5290108,-0.7903844,1.124,1.766,16.300,287,293,3.53
2022-07-20 20:42:58,-58.5297203,-0.7880641,0.952,1.147,16.000,296,291,3.53
